Average,iframe,color,Country,Housing,Income,Jobs,Community,Education,Environment,Civic engagement,Health,Life Satisfaction,Safety,Work-Life balance
better than average,<iframe src='https://flo.uri.sh/story/2936983/embed#slide-0' title='Interactive or visual content' class='flourish-embed-iframe' frameborder='0' scrolling='no' style='width:100%;height:315px;' sandbox='allow-same-origin allow-forms allow-scripts allow-downloads allow-popups allow-popups-to-escape-sandbox allow-top-navigation-by-user-activation'></iframe>,#058896,Denmark,6.3,3.3,8.7,8.3,8,8.3,6.8,7.5,8.8,9.2,8.6
worse than average,<iframe src='https://flo.uri.sh/story/2936983/embed#slide-6' title='Interactive or visual content' class='flourish-embed-iframe' frameborder='0' scrolling='no' style='width:100%;height:315px;' sandbox='allow-same-origin allow-forms allow-scripts allow-downloads allow-popups allow-popups-to-escape-sandbox allow-top-navigation-by-user-activation'></iframe>,#fa6502,Estonia,7,2.4,7.3,8.4,8.2,8.2,6,5.6,5.3,8.4,7.3
better than average,<iframe src='https://flo.uri.sh/story/2936983/embed#slide-1' title='Interactive or visual content' class='flourish-embed-iframe' frameborder='0' scrolling='no' style='width:100%;height:315px;' sandbox='allow-same-origin allow-forms allow-scripts allow-downloads allow-popups allow-popups-to-escape-sandbox allow-top-navigation-by-user-activation'></iframe>,#058896,Finland,6.4,3.8,8.2,8.9,9.2,9.8,5.4,7.6,10,9.3,7.3
better than average,<iframe src='https://flo.uri.sh/story/2936983/embed#slide-2' title='Interactive or visual content' class='flourish-embed-iframe' frameborder='0' scrolling='no' style='width:100%;height:315px;' sandbox='allow-same-origin allow-forms allow-scripts allow-downloads allow-popups allow-popups-to-escape-sandbox allow-top-navigation-by-user-activation'></iframe>,#058896,Iceland,6.5,6.4,9.7,10,6.8,9.7,6.6,8.6,9,9.3,4.8
better than average,<iframe src='https://flo.uri.sh/story/2936983/embed#slide-3' title='Interactive or visual content' class='flourish-embed-iframe' frameborder='0' scrolling='no' style='width:100%;height:315px;' sandbox='allow-same-origin allow-forms allow-scripts allow-downloads allow-popups allow-popups-to-escape-sandbox allow-top-navigation-by-user-activation'></iframe>,#058896,Norway,8.1,4.6,8.8,8.7,7.4,9.8,6.5,8.3,8,9.9,8.5
better than average,<iframe src='https://flo.uri.sh/story/2936983/embed#slide-4' title='Interactive or visual content' class='flourish-embed-iframe' frameborder='0' scrolling='no' style='width:100%;height:315px;' sandbox='allow-same-origin allow-forms allow-scripts allow-downloads allow-popups allow-popups-to-escape-sandbox allow-top-navigation-by-user-activation'></iframe>,#058896,Sweden,6.9,5,8.3,7.8,8.3,9.8,6.9,8.6,8.1,8.6,8.1
better than average,<iframe src='https://flo.uri.sh/story/2936983/embed#slide-5' title='Interactive or visual content' class='flourish-embed-iframe' frameborder='0' scrolling='no' style='width:100%;height:315px;' sandbox='allow-same-origin allow-forms allow-scripts allow-downloads allow-popups allow-popups-to-escape-sandbox allow-top-navigation-by-user-activation'></iframe>,#058896,United Kingdom,6.5,5.4,8.4,7.3,6.7,6.8,7.1,7.8,6.4,8.6,5.6
worse than average,<iframe src='https://flo.uri.sh/story/2936983/embed#slide-7' title='Interactive or visual content' class='flourish-embed-iframe' frameborder='0' scrolling='no' style='width:100%;height:315px;' sandbox='allow-same-origin allow-forms allow-scripts allow-downloads allow-popups allow-popups-to-escape-sandbox allow-top-navigation-by-user-activation'></iframe>,#fa6502,Latvia,4.5,1.3,6.9,7.1,7.5,6.4,4,4,4.5,7.4,7.5
worse than average,<iframe src='https://flo.uri.sh/story/2936983/embed#slide-8' title='Interactive or visual content' class='flourish-embed-iframe' frameborder='0' scrolling='no' style='width:100%;height:315px;' sandbox='allow-same-origin allow-forms allow-scripts allow-downloads allow-popups allow-popups-to-escape-sandbox allow-top-navigation-by-user-activation'></iframe>,#fa6502,Lithuania,5.8,2.7,7,5.5,7.7,6.9,4.7,4.1,5.1,6.7,7.7
